group,variable,path
B01001C,020E,estimate.total.female.10_to_14_years
B01001C,021E,estimate.total.female.15_to_17_years
B01001C,022E,estimate.total.female.18_and_19_years
B01001C,023E,estimate.total.female.20_to_24_years
B01001C,024E,estimate.total.female.25_to_29_years
B01001C,025E,estimate.total.female.30_to_34_years
B01001C,026E,estimate.total.female.35_to_44_years
B01001C,027E,estimate.total.female.45_to_54_years
B01001C,028E,estimate.total.female.55_to_64_years
B01001C,029E,estimate.total.female.65_to_74_years
B01001C,030E,estimate.total.female.75_to_84_years
B01001C,031E,estimate.total.female.85_years_and_over
B01001D,001E,estimate.total
B01001D,002E,estimate.total.male
B01001D,003E,estimate.total.male.under_5_years
B01001D,004E,estimate.total.male.5_to_9_years
B01001D,005E,estimate.total.male.10_to_14_years
B01001D,006E,estimate.total.male.15_to_17_years
B01001D,007E,estimate.total.male.18_and_19_years
B01001D,008E,estimate.total.male.20_to_24_years
B01001D,009E,estimate.total.male.25_to_29_years
B01001D,010E,estimate.total.male.30_to_34_years
B01001D,011E,estimate.total.male.35_to_44_years
B01001D,012E,estimate.total.male.45_to_54_years
B01001D,013E,estimate.total.male.55_to_64_years
B01001D,014E,estimate.total.male.65_to_74_years
B01001D,015E,estimate.total.male.75_to_84_years
B01001D,016E,estimate.total.male.85_years_and_over
B01001D,017E,estimate.total.female
B01001D,018E,estimate.total.female.under_5_years
B01001D,019E,estimate.total.female.5_to_9_years
B01001D,020E,estimate.total.female.10_to_14_years
B01001D,021E,estimate.total.female.15_to_17_years
B01001D,022E,estimate.total.female.18_and_19_years
B01001D,023E,estimate.total.female.20_to_24_years
B01001D,024E,estimate.total.female.25_to_29_years
B01001D,025E,estimate.total.female.30_to_34_years
B01001D,026E,estimate.total.female.35_to_44_years
B01001D,027E,estimate.total.female.45_to_54_years
B01001D,028E,estimate.total.female.55_to_64_years
B01001D,029E,estimate.total.female.65_to_74_years
B01001D,030E,estimate.total.female.75_to_84_years
B01001D,031E,estimate.total.female.85_years_and_over
B01001E,001E,estimate.total
B01001E,002E,estimate.total.male
B01001E,003E,estimate.total.male.under_5_years
B01001E,004E,estimate.total.male.5_to_9_years
B01001E,005E,estimate.total.male.10_to_14_years
B01001E,006E,estimate.total.male.15_to_17_years
B01001E,007E,estimate.total.male.18_and_19_years
B01001E,008E,estimate.total.male.20_to_24_years
B01001E,009E,estimate.total.male.25_to_29_years
B01001E,010E,estimate.total.male.30_to_34_years
B01001E,011E,estimate.total.male.35_to_44_years
B01001E,012E,estimate.total.male.45_to_54_years
B01001E,013E,estimate.total.male.55_to_64_years
B01001E,014E,estimate.total.male.65_to_74_years
B01001E,015E,estimate.total.male.75_to_84_years
B01001E,016E,estimate.total.male.85_years_and_over
B01001E,017E,estimate.total.female
B01001E,018E,estimate.total.female.under_5_years
B01001E,019E,estimate.total.female.5_to_9_years
B01001E,020E,estimate.total.female.10_to_14_years
B01001E,021E,estimate.total.female.15_to_17_years
B01001E,022E,estimate.total.female.18_and_19_years
B01001E,023E,estimate.total.female.20_to_24_years
B01001E,024E,estimate.total.female.25_to_29_years
B01001E,025E,estimate.total.female.30_to_34_years
B01001E,026E,estimate.total.female.35_to_44_years
B01001E,027E,estimate.total.female.45_to_54_years
B01001E,028E,estimate.total.female.55_to_64_years
B01001E,029E,estimate.total.female.65_to_74_years
B01001E,030E,estimate.total.female.75_to_84_years
B01001E,031E,estimate.total.female.85_years_and_over
B01001F,001E,estimate.total
B01001F,002E,estimate.total.male
B01001F,003E,estimate.total.male.under_5_years
B01001F,004E,estimate.total.male.5_to_9_years
B01001F,005E,estimate.total.male.10_to_14_years
B01001F,006E,estimate.total.male.15_to_17_years
B01001F,007E,estimate.total.male.18_and_19_years
B01001F,008E,estimate.total.male.20_to_24_years
B01001F,009E,estimate.total.male.25_to_29_years
B01001F,010E,estimate.total.male.30_to_34_years
B01001F,011E,estimate.total.male.35_to_44_years
B01001F,012E,estimate.total.male.45_to_54_years
B01001F,013E,estimate.total.male.55_to_64_years
B01001F,014E,estimate.total.male.65_to_74_years
B01001F,015E,estimate.total.male.75_to_84_years
B01001F,016E,estimate.total.male.85_years_and_over
B01001F,017E,estimate.total.female
B01001F,018E,estimate.total.female.under_5_years
B01001F,019E,estimate.total.female.5_to_9_years
B01001F,020E,estimate.total.female.10_to_14_years
B01001F,021E,estimate.total.female.15_to_17_years
B01001F,022E,estimate.total.female.18_and_19_years
B01001F,023E,estimate.total.female.20_to_24_years
B01001F,024E,estimate.total.female.25_to_29_years
B01001F,025E,estimate.total.female.30_to_34_years
B01001F,026E,estimate.total.female.35_to_44_years
B01001F,027E,estimate.total.female.45_to_54_years
B01001F,028E,estimate.total.female.55_to_64_years
B01001F,029E,estimate.total.female.65_to_74_years
B01001F,030E,estimate.total.female.75_to_84_years
B01001F,031E,estimate.total.female.85_years_and_over
B01001G,001E,estimate.total
B01001G,002E,estimate.total.male
B01001G,003E,estimate.total.male.under_5_years
B01001G,004E,estimate.total.male.5_to_9_years
B01001G,005E,estimate.total.male.10_to_14_years
B01001G,006E,estimate.total.male.15_to_17_years
B01001G,007E,estimate.total.male.18_and_19_years
B01001G,008E,estimate.total.male.20_to_24_years
B01001G,009E,estimate.total.male.25_to_29_years
B01001G,010E,estimate.total.male.30_to_34_years
B01001G,011E,estimate.total.male.35_to_44_years
B01001G,012E,estimate.total.male.45_to_54_years
B01001G,013E,estimate.total.male.55_to_64_years
B01001G,014E,estimate.total.male.65_to_74_years
B01001G,015E,estimate.total.male.75_to_84_years
B01001G,016E,estimate.total.male.85_years_and_over
B01001G,017E,estimate.total.female
B01001G,018E,estimate.total.female.under_5_years
B01001G,019E,estimate.total.female.5_to_9_years
B01001G,020E,estimate.total.female.10_to_14_years
B01001G,021E,estimate.total.female.15_to_17_years
B01001G,022E,estimate.total.female.18_and_19_years
B01001G,023E,estimate.total.female.20_to_24_years
B01001G,024E,estimate.total.female.25_to_29_years
B01001G,025E,estimate.total.female.30_to_34_years
B01001G,026E,estimate.total.female.35_to_44_years
B01001G,027E,estimate.total.female.45_to_54_years
B01001G,028E,estimate.total.female.55_to_64_years
B01001G,029E,estimate.total.female.65_to_74_years
B01001G,030E,estimate.total.female.75_to_84_years
B01001G,031E,estimate.total.female.85_years_and_over
B01001H,001E,estimate.total
B01001H,002E,estimate.total.male
B01001H,003E,estimate.total.male.under_5_years
B01001H,004E,estimate.total.male.5_to_9_years
B01001H,005E,estimate.total.male.10_to_14_years
B01001H,006E,estimate.total.male.15_to_17_years
B01001H,007E,estimate.total.male.18_and_19_years
B01001H,008E,estimate.total.male.20_to_24_years
B01001H,009E,estimate.total.male.25_to_29_years
B01001H,010E,estimate.total.male.30_to_34_years
B01001H,011E,estimate.total.male.35_to_44_years
B01001H,012E,estimate.total.male.45_to_54_years
B01001H,013E,estimate.total.male.55_to_64_years
B01001H,014E,estimate.total.male.65_to_74_years
B01001H,015E,estimate.total.male.75_to_84_years
B01001H,016E,estimate.total.male.85_years_and_over
B01001H,017E,estimate.total.female
B01001H,018E,estimate.total.female.under_5_years
B01001H,019E,estimate.total.female.5_to_9_years
B01001H,020E,estimate.total.female.10_to_14_years
B01001H,021E,estimate.total.female.15_to_17_years
B01001H,022E,estimate.total.female.18_and_19_years
B01001H,023E,estimate.total.female.20_to_24_years
B01001H,024E,estimate.total.female.25_to_29_years
B01001H,025E,estimate.total.female.30_to_34_years
B01001H,026E,estimate.total.female.35_to_44_years
B01001H,027E,estimate.total.female.45_to_54_years
B01001H,028E,estimate.total.female.55_to_64_years
B01001H,029E,estimate.total.female.65_to_74_years
B01001H,030E,estimate.total.female.75_to_84_years
B01001H,031E,estimate.total.female.85_years_and_over
B01001I,001E,estimate.total
B01001I,002E,estimate.total.male
B01001I,003E,estimate.total.male.under_5_years
B01001I,004E,estimate.total.male.5_to_9_years
B01001I,005E,estimate.total.male.10_to_14_years
B01001I,006E,estimate.total.male.15_to_17_years
B01001I,007E,estimate.total.male.18_and_19_years
B01001I,008E,estimate.total.male.20_to_24_years
B01001I,009E,estimate.total.male.25_to_29_years
B01001I,010E,estimate.total.male.30_to_34_years
B01001I,011E,estimate.total.male.35_to_44_years
B01001I,012E,estimate.total.male.45_to_54_years
B01001I,013E,estimate.total.male.55_to_64_years
B01001I,014E,estimate.total.male.65_to_74_years
B01001I,015E,estimate.total.male.75_to_84_years
B01001I,016E,estimate.total.male.85_years_and_over
B01001I,017E,estimate.total.female
B01001I,018E,estimate.total.female.under_5_years
B01001I,019E,estimate.total.female.5_to_9_years
B01001I,020E,estimate.total.female.10_to_14_years
B01001I,021E,estimate.total.female.15_to_17_years
B01001I,022E,estimate.total.female.18_and_19_years
B01001I,023E,estimate.total.female.20_to_24_years
B01001I,024E,estimate.total.female.25_to_29_years
B01001I,025E,estimate.total.female.30_to_34_years
B01001I,026E,estimate.total.female.35_to_44_years
B01001I,027E,estimate.total.female.45_to_54_years
B01001I,028E,estimate.total.female.55_to_64_years
B01001I,029E,estimate.total.female.65_to_74_years
B01001I,030E,estimate.total.female.75_to_84_years
B01001I,031E,estimate.total.female.85_years_and_over
B01003,001E,estimate.total
B02001,001E,estimate.total
B02001,002E,estimate.total.white_alone
B02001,003E,estimate.total.black_or_african_american_alone
B02001,004E,estimate.total.american_indian_and_alaska_native_alone
B02001,005E,estimate.total.asian_alone
B02001,006E,estimate.total.native_hawaiian_and_other_pacific_islander_alone
B02001,007E,estimate.total.some_other_race_alone
B02001,008E,estimate.total.two_or_more_races
B02001,009E,estimate.total.two_or_more_races.two_races_including_some_other_race
B02008,001E,estimate.total
B02009,001E,estimate.total
B02010,001E,estimate.total
B02011,001E,estimate.total
B02012,001E,estimate.total
B02013,001E,estimate.total
B02014,001E,estimate.total
B02014,055E,estimate.total.two_or_more_american_indian_or_alaska_native_tribes
B02015,001E,estimate.total
B02015,003E,estimate.total.east_asian.hmong
B02015,004E,estimate.total.east_asian.japanese
B02015,005E,estimate.total.east_asian.korean
B02015,006E,estimate.total.east_asian.mongolian
B02015,007E,estimate.total.east_asian.okinawan
B02015,008E,estimate.total.east_asian.taiwanese
B02015,009E,estimate.total.east_asian.other_east_asian
B02015,010E,estimate.total.southeast_asian.burmese
B02015,011E,estimate.total.southeast_asian.cambodian
B02015,012E,estimate.total.southeast_asian.filipino
B02015,013E,estimate.total.southeast_asian.indonesian
B02015,014E,estimate.total.southeast_asian.laotian
B02015,015E,estimate.total.southeast_asian.malaysian
B02015,016E,estimate.total.southeast_asian.mien
B02015,017E,estimate.total.southeast_asian.singaporean
B02015,018E,estimate.total.southeast_asian.thai
B02015,019E,estimate.total.southeast_asian.vietnamese
B02015,020E,estimate.total.southeast_asian.other_southeast_asian
B02015,021E,estimate.total.south_asian.asian_indian
B02015,022E,estimate.total.south_asian.bangladeshi
B02015,023E,estimate.total.south_asian.bhutanese
B02015,024E,estimate.total.south_asian.nepalese
B02015,025E,estimate.total.south_asian.pakistani
B02015,026E,estimate.total.south_asian.sikh
B02015,027E,estimate.total.south_asian.sri_lankan
B02015,028E,estimate.total.south_asian.other_south_asian
B02015,029E,estimate.total.central_asian.kazakh
B02015,030E,estimate.total.central_asian.uzbek
B02015,031E,estimate.total.central_asian.other_central_asian
B02015,034E,estimate.total.two_or_more_asian
B02016,001E,estimate.total
B02016,002E,estimate.total.polynesian.native_hawaiian
B02016,003E,estimate.total.polynesian.samoan
B02016,004E,estimate.total.polynesian.tongan
B02016,005E,estimate.total.polynesian.other_polynesian
B02016,006E,estimate.total.micronesian.chamorro
B02016,007E,estimate.total.micronesian.chuukese
B02016,008E,estimate.total.micronesian.guamanian
B02016,009E,estimate.total.micronesian.marshallese
B02016,010E,estimate.total.micronesian.other_micronesian
B02016,011E,estimate.total.melanesian.fijian
B02016,012E,estimate.total.melanesian.other_melanesian
B02016,014E,estimate.total.two_or_more_native_hawaiian_and_other_pacific_islander
B02017,001E,estimate.total_groups_tallied
B02018,001E,estimate.total_groups_tallied
B02018,003E,estimate.total_groups_tallied.east_asian.hmong
B02018,004E,estimate.total_groups_tallied.east_asian.japanese
B02018,005E,estimate.total_groups_tallied.east_asian.korean
B02018,006E,estimate.total_groups_tallied.east_asian.mongolian
B02018,007E,estimate.total_groups_tallied.east_asian.okinawan
B02018,008E,estimate.total_groups_tallied.east_asian.taiwanese
B02018,009E,estimate.total_groups_tallied.east_asian.other_east_asian
B02018,010E,estimate.total_groups_tallied.southeast_asian.burmese
B02018,011E,estimate.total_groups_tallied.southeast_asian.cambodian
B02018,012E,estimate.total_groups_tallied.southeast_asian.filipino
B02018,013E,estimate.total_groups_tallied.southeast_asian.indonesian
B02018,014E,estimate.total_groups_tallied.southeast_asian.laotian
B02018,015E,estimate.total_groups_tallied.southeast_asian.malaysian
B02018,016E,estimate.total_groups_tallied.southeast_asian.mien
B02018,017E,estimate.total_groups_tallied.southeast_asian.singaporean
B02018,018E,estimate.total_groups_tallied.southeast_asian.thai
B02018,019E,estimate.total_groups_tallied.southeast_asian.vietnamese
B02018,020E,estimate.total_groups_tallied.southeast_asian.other_southeast_asian
B02018,021E,estimate.total_groups_tallied.south_asian.asian_indian
B02018,022E,estimate.total_groups_tallied.south_asian.bangladeshi
B02018,023E,estimate.total_groups_tallied.south_asian.bhutanese
B02018,024E,estimate.total_groups_tallied.south_asian.nepalese
B02018,025E,estimate.total_groups_tallied.south_asian.pakistani
B02018,026E,estimate.total_groups_tallied.south_asian.sikh
B02018,027E,estimate.total_groups_tallied.south_asian.sri_lankan
B02018,028E,estimate.total_groups_tallied.south_asian.other_south_asian
B02018,029E,estimate.total_groups_tallied.central_asian.kazakh
B02018,030E,estimate.total_groups_tallied.central_asian.uzbek
B02018,031E,estimate.total_groups_tallied.central_asian.other_central_asian
B02019,001E,estimate.total_groups_tallied
B02019,002E,estimate.total_groups_tallied.polynesian.native_hawaiian
B02019,003E,estimate.total_groups_tallied.polynesian.samoan
B02019,004E,estimate.total_groups_tallied.polynesian.tongan
B02019,005E,estimate.total_groups_tallied.polynesian.other_polynesian
B02019,006E,estimate.total_groups_tallied.micronesian.chamorro
B02019,007E,estimate.total_groups_tallied.micronesian.chuukese
B02019,008E,estimate.total_groups_tallied.micronesian.guamanian
B02019,009E,estimate.total_groups_tallied.micronesian.marshallese
B02019,010E,estimate.total_groups_tallied.micronesian.other_micronesian
B02019,011E,estimate.total_groups_tallied.melanesian.fijian
B02019,012E,estimate.total_groups_tallied.melanesian.other_melanesian
B03001,001E,estimate.total
B03001,002E,estimate.total.not_hispanic_or_latino
B03001,003E,estimate.total.hispanic_or_latino
B03001,004E,estimate.total.hispanic_or_latino.mexican
B03001,005E,estimate.total.hispanic_or_latino.puerto_rican
B03001,006E,estimate.total.hispanic_or_latino.cuban
B03001,008E,estimate.total.hispanic_or_latino.central_american
B03001,009E,estimate.total.hispanic_or_latino.central_american.costa_rican
B03001,010E,estimate.total.hispanic_or_latino.central_american.guatemalan
B03001,011E,estimate.total.hispanic_or_latino.central_american.honduran
B03001,012E,estimate.total.hispanic_or_latino.central_american.nicaraguan
B03001,013E,estimate.total.hispanic_or_latino.central_american.panamanian
B03001,014E,estimate.total.hispanic_or_latino.central_american.salvadoran
B03001,015E,estimate.total.hispanic_or_latino.central_american.other_central_american
B03001,016E,estimate.total.hispanic_or_latino.south_american
B03001,017E,estimate.total.hispanic_or_latino.south_american.argentinean
B03001,018E,estimate.total.hispanic_or_latino.south_american.bolivian
B03001,019E,estimate.total.hispanic_or_latino.south_american.chilean
B03001,020E,estimate.total.hispanic_or_latino.south_american.colombian
B03001,021E,estimate.total.hispanic_or_latino.south_american.ecuadorian
B03001,022E,estimate.total.hispanic_or_latino.south_american.paraguayan
B03001,023E,estimate.total.hispanic_or_latino.south_american.peruvian
B03001,024E,estimate.total.hispanic_or_latino.south_american.uruguayan
B03001,025E,estimate.total.hispanic_or_latino.south_american.venezuelan
B03001,026E,estimate.total.hispanic_or_latino.south_american.other_south_american
B03001,027E,estimate.total.hispanic_or_latino.other_hispanic_or_latino
B03001,028E,estimate.total.hispanic_or_latino.other_hispanic_or_latino.spaniard
B03001,029E,estimate.total.hispanic_or_latino.other_hispanic_or_latino.spanish
B03001,030E,estimate.total.hispanic_or_latino.other_hispanic_or_latino.spanish_american
B03001,031E,estimate.total.hispanic_or_latino.other_hispanic_or_latino.all_other_hispanic_or_latino
B03002,001E,estimate.total
B03002,002E,estimate.total.not_hispanic_or_latino
B03002,003E,estimate.total.not_hispanic_or_latino.white_alone
B03002,004E,estimate.total.not_hispanic_or_latino.black_or_african_american_alone
B03002,005E,estimate.total.not_hispanic_or_latino.american_indian_and_alaska_native_alone
B03002,006E,estimate.total.not_hispanic_or_latino.asian_alone
B03002,007E,estimate.total.not_hispanic_or_latino.native_hawaiian_and_other_pacific_islander_alone
B03002,008E,estimate.total.not_hispanic_or_latino.some_other_race_alone
B03002,009E,estimate.total.not_hispanic_or_latino.two_or_more_races
B03002,010E,estimate.total.not_hispanic_or_latino.two_or_more_races.two_races_including_some_other_race
B03002,012E,estimate.total.hispanic_or_latino
B03002,013E,estimate.total.hispanic_or_latino.white_alone
B03002,014E,estimate.total.hispanic_or_latino.black_or_african_american_alone
B03002,015E,estimate.total.hispanic_or_latino.american_indian_and_alaska_native_alone
B03002,016E,estimate.total.hispanic_or_latino.asian_alone
B03002,017E,estimate.total.hispanic_or_latino.native_hawaiian_and_other_pacific_islander_alone
B03002,018E,estimate.total.hispanic_or_latino.some_other_race_alone
B03002,019E,estimate.total.hispanic_or_latino.two_or_more_races
B03002,020E,estimate.total.hispanic_or_latino.two_or_more_races.two_races_including_some_other_race
B03003,001E,estimate.total
B03003,002E,estimate.total.not_hispanic_or_latino
B03003,003E,estimate.total.hispanic_or_latino
B04004,001E,estimate.total
B04004,002E,estimate.total.afghan
B04004,003E,estimate.total.albanian
B04004,004E,estimate.total.alsatian
B04004,005E,estimate.total.american
B04004,006E,estimate.total.arab
B04004,007E,estimate.total.arab.egyptian
B04004,008E,estimate.total.arab.iraqi
B04004,009E,estimate.total.arab.jordanian
B04004,010E,estimate.total.arab.lebanese
B04004,011E,estimate.total.arab.moroccan
B04004,012E,estimate.total.arab.palestinian
B04004,013E,estimate.total.arab.syrian
B04004,014E,estimate.total.arab.arab
B04004,015E,estimate.total.arab.other_arab
B04004,016E,estimate.total.armenian
B04004,018E,estimate.total.australian
B04004,019E,estimate.total.austrian
B04004,020E,estimate.total.basque
B04004,021E,estimate.total.belgian
B04004,022E,estimate.total.brazilian
B04004,023E,estimate.total.british
B04004,024E,estimate.total.bulgarian
B04004,025E,estimate.total.cajun
B04004,026E,estimate.total.canadian
B04004,027E,estimate.total.carpatho_rusyn
B04004,028E,estimate.total.celtic
B04004,029E,estimate.total.croatian
B04004,030E,estimate.total.cypriot
B04004,031E,estimate.total.czech
B04004,032E,estimate.total.czechoslovakian
B04004,033E,estimate.total.danish
B04004,034E,estimate.total.dutch
B04004,035E,estimate.total.eastern_european
B04004,036E,estimate.total.english
B04004,037E,estimate.total.estonian
B04004,038E,estimate.total.european
B04004,039E,estimate.total.finnish
B04004,041E,estimate.total.french_canadian
B04004,042E,estimate.total.german
B04004,043E,estimate.total.german_russian
B04004,044E,estimate.total.greek
B04004,045E,estimate.total.guyanese
B04004,046E,estimate.total.hungarian
B04004,047E,estimate.total.icelander
B04004,048E,estimate.total.iranian
B04004,049E,estimate.total.irish
B04004,050E,estimate.total.israeli
B04004,051E,estimate.total.italian
B04004,052E,estimate.total.latvian
B04004,053E,estimate.total.lithuanian
B04004,054E,estimate.total.luxembourger
B04004,055E,estimate.total.macedonian
B04004,056E,estimate.total.maltese
B04004,057E,estimate.total.new_zealander
B04004,058E,estimate.total.northern_european
B04004,059E,estimate.total.norwegian
B04004,060E,estimate.total.pennsylvania_german
B04004,061E,estimate.total.polish
B04004,062E,estimate.total.portuguese
B04004,063E,estimate.total.romanian
B04004,064E,estimate.total.russian
B04004,065E,estimate.total.scandinavian
B04004,067E,estimate.total.scottish
B04004,068E,estimate.total.serbian
B04004,069E,estimate.total.slavic
B04004,070E,estimate.total.slovak
B04004,071E,estimate.total.slovene
B04004,072E,estimate.total.soviet_union
B04004,073E,estimate.total.subsaharan_african
B04004,074E,estimate.total.subsaharan_african.cape_verdean
B04004,075E,estimate.total.subsaharan_african.ethiopian
B04004,076E,estimate.total.subsaharan_african.ghanaian
B04004,077E,estimate.total.subsaharan_african.kenyan
B04004,078E,estimate.total.subsaharan_african.liberian
B04004,079E,estimate.total.subsaharan_african.nigerian
B04004,080E,estimate.total.subsaharan_african.senegalese
B04004,081E,estimate.total.subsaharan_african.sierra_leonean
B04004,082E,estimate.total.subsaharan_african.somali
B04004,083E,estimate.total.subsaharan_african.south_african
B04004,084E,estimate.total.subsaharan_african.sudanese
B04004,085E,estimate.total.subsaharan_african.ugandan
B04004,086E,estimate.total.subsaharan_african.zimbabwean
B04004,087E,estimate.total.subsaharan_african.african
B04004,088E,estimate.total.subsaharan_african.other_subsaharan_african
B04004,089E,estimate.total.swedish
B04004,090E,estimate.total.swiss
B04004,091E,estimate.total.turkish
B04004,092E,estimate.total.ukrainian
B04004,093E,estimate.total.welsh
B04004,107E,estimate.total.yugoslavian
B04004,108E,estimate.total.other_groups
B04005,001E,estimate.total
B04005,002E,estimate.total.afghan
B04005,003E,estimate.total.albanian
B04005,004E,estimate.total.alsatian
B04005,005E,estimate.total.american
B04005,006E,estimate.total.arab
B04005,007E,estimate.total.arab.egyptian
B04005,008E,estimate.total.arab.iraqi
B04005,009E,estimate.total.arab.jordanian
B04005,010E,estimate.total.arab.lebanese
B04005,011E,estimate.total.arab.moroccan
B04005,012E,estimate.total.arab.palestinian
B04005,013E,estimate.total.arab.syrian
B04005,014E,estimate.total.arab.arab
B04005,015E,estimate.total.arab.other_arab
B04005,016E,estimate.total.armenian
B04005,018E,estimate.total.australian
B04005,019E,estimate.total.austrian
B04005,020E,estimate.total.basque
B04005,021E,estimate.total.belgian
